category,title,creator,publication_year,description
album,Seattle Cowboy,Rob A. Bank,1970,Letterpress hoodie put a bird on it shoreditch neutra sriracha normcore meditation kombucha.
album,Veranda Delight,Ira Fuse,1979,Banh mi tacos chambray paleo crucifix keffiyeh umami.
book,Brooklyn Nuts,Minnie Skurt,1987,Tote bag forage bitters literally messenger bag gastropub vice.
album,Captain's Star,Joy Anna DeLight,1929,Schlitz distillery meggings you probably haven't heard of them synth.
book,Melty Bean,Patton Down DeHatches,2006,Art party slow-carb etsy semiotics sustainable lumbersexual godard church-key bushwick.
album,Green Star,Jacklyn Hyde,1999,Health echo scenester cornhole kitsch chicharrones portland.
album,Evening Equinox,Anna Sasin,1929,Five dollar toast meditation single-origin coffee locavore.
album,Strong Blend,Ella Vader,1937,Meh meditation aesthetic xoxo.
album,Blacktop Look,Al B. Zienya,1971,Waistcoat meditation taxidermy wes anderson tote bag squid kombucha echo.
album,Kreb-Full-o Symphony,Owen Moore,1995,Master bicycle rights shabby chic ugh gastropub skateboard actually put a bird on it cliche.
album,The Captain's Pie,Lou Pole,1938,Next level mlkshk cardigan butcher try-hard.
book,Cascara ,Al Dente,1946,Schlitz wayfarers intelligentsia bushwick church-key 3 wolf moon quinoa.
book,Wake-up Choice,Michelle Lynn,2008,Disrupt beard cray ethical fingerstache humblebrag kickstarter thundercats skateboard.
book,The Cup,Ford Parker,1941,Waistcoat freegan marfa bespoke pitchfork try-hard twee.
album,Red Cowboy,Mike Czech,1973,Single-origin coffee yolo seitan wayfarers.
book,Major Select,Arch N. Emmy,1980,3 wolf moon cardigan freegan try-hard put a bird on it loko vinyl post-ironic.
book,Good-morning Solstice,Iona Corolla,1984,Hella slow-carb pitchfork green juice bespoke vinegar actually aesthetic mlkshk.
book,Holiday Forrester,I. P. Freely,1933,Fingerstache photo booth diy pabst pour-over portland.
album,Spilt Breaker,Stu Pitt,1968,Roof cliche pbr&b truffaut next level.
book,Spilt Town,Colin Allcars,1948,Tote bag gentrify ennui semiotics tousled chia letterpress.
book,Jacked Treat,Dusty Carr,1924,Jean shorts pabst beard kickstarter pug.
book,Captain's Select,Phil Rupp,1962,Carry church-key swag blue bottle mixtape.
album,Bluebery Delight,Hy Marx,1978,Hella seitan flexitarian cliche yr.
book,Thanksgiving Blend,Rocky Beach,1943,Umami scenester 90's selfies bitters gastropub.
album,The Symphony,Ivan Oder,2016,Irony franzen actually listicle.
